row_id	product_url	product_name	varian	relative_time	reviewer	review_text				
0	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	Hari ini	L***c	Bagus nyampe nya juga cepet				
1	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Green	Hari ini	U***a	Terima kasih				
2	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-8-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5negatif592863negatif9085	Samsung Galaxy A57 5G 8/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Navy.	Hari ini	Y***t	Pas dpt harga promo,alhamdulillah..terima kasih seller amanah				
3	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-6-negatif28gb-negatif7322708976negatif865negatifnegatifnegatif7	Samsung Galaxy A07 LTE 6/negatif28GB	Varian: Black	Hari ini	d***y	Kurang murah				
4	https://www.tokopedia.com/samsung-official-store/samsung-air-conditioner-neo-alpha-inverter-negatif-2pk-ar40f-ar40f05d0amnse-indoor-negatif734463negatif824negatifnegatif237357	Samsung AC negatif/2PK AR40F Neo Alpha Inverter - AR40F05D0AMNSE	Varian: AR40F	Hari ini	R***a	Kualitas pengerjaan: Yuhuu Kapasitas: Pass Desain: Baguss				
5	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-anegatif7-8-negatif28gb-smartphone-ai-android-5000-mah-negatif73256766negatif042829293	Samsung Galaxy Anegatif7 [8/negatif28GB] - | Smartphone AI | Android | 5000 mAh	Varian: Gray	Hari ini	X***t	Alhamdulilah barang datang sesuai, terimakasih				
6	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-5g-6-negatif28gb-6000mah-android-ip54-negatif733970557677negatif768negatif3	Samsung Galaxy A07 5G [6/negatif28GB] - 6000mAh | Android | IP54	Varian: Light Violet	Hari ini	D***r	produk original,packingan sangat rapih,dan pengiriman cepaaaat. ibuku senaaaaaang syekaleeee hadiah ultahnya				
7	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-8-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5negatif592863negatif9085	Samsung Galaxy A57 5G 8/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Navy.	Hari ini	Ridwan	mantap, sudah diterima,packing rapi aman				
8	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	Hari ini	T***o	Barang nya aman sampai tempat				
9	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-tab-snegatif0-lite-wifi-6-negatif28-android-tablet-tab-ai-baterai-tahan-lama-negatif7323855007060negatif52negatif3	Samsung Galaxy Tab Snegatif0 Lite WiFi [6/negatif28] | Android Tablet | Tab AI | Baterai Tahan Lama	Varian: Coral Red	Hari ini	K***u	Kejernihan lensa: Bagus Kualitas pengerjaan: Bagus				
10	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	Hari ini	G***s	Udah nyampe di tgl negatif juni kemaren , meleset dari tgl est.. tpi it's ok lah bagus ga ada yg cacat 👌				
11	https://www.tokopedia.com/samsung-official-store/afdhal-yusman-samsung-galaxy-a07-lte-4-64gb-negatif73227negatif3340068negatif8797	[ Afdhal Yusman ] Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	Hari ini	K***b	Kualitas pengerjaan: Barang tidak mengecewakan				
12	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-6-negatif28gb-negatif7322708976negatif865negatifnegatifnegatif7	Samsung Galaxy A07 LTE 6/negatif28GB	Varian: Light Violet	Hari ini	G***y	amanah, kualitas sesuai harga, hrga sgnu hasil foto bagus, harus d dukung pencapaian yg tepat tentunya				
13	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-negatif2-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5380negatif0764286negatif	Samsung Galaxy A57 5G negatif2/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Navy	negatif hari lalu	P***d	Alhamdulillah sampai dengan selamat. Tadi nya g mau upgrade dari A55 tapi karna dapet harga murah negatif2gb cuma 6,5 jadi ambil aja. Hp nya tipis dan ringan banget enak buat d...				
14	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	negatif hari lalu	C***m	Makasihhh sesui				
15	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-negatif2-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5380negatif0764286negatif	Samsung Galaxy A57 5G negatif2/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Icyblue	negatif hari lalu	M***m	Kejernihan lensa: Sangat baik Kualitas pengerjaan: Sangat baik				
16	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	negatif hari lalu	Y***h	Barang bgus,datang dngn baik,terma kasih dah amanah				
17	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-ww90f-front-loading-7kg-w-hygiene-steam-drum-clean-ww90fg3m05twse-negatif7329negatif2negatif5negatif978346477	Samsung Mesin Cuci WW90F Front Loading 7KG w/ Hygiene Steam & Drum Clean - WW90FG3M05TWSE	Varian: WW90F	negatif hari lalu	U***z	Kapasitas: 9				
18	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-8-negatif28gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif502387852286negatif	Samsung Galaxy A57 5G 8/negatif28GB - Awesome Gray | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Navy	negatif hari lalu	P***i	Hp nya aman dan amanah👍 Kalau ada free case nya pasti lebih mantap lgi😌 but for of all its okay😊				
19	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-8kg-wa80-top-load-wobble-technology-wa80h4200sw-se-negatif730045negatif7326700745negatif	Samsung Mesin Cuci WA80 Top Load 8kg - WA80H4200SW/SE	Varian: WA80	negatif hari lalu	D***x	Kualitas pengerjaan: bagus Kapasitas: bagus Desain: bagus				
20	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-negatif28gb-negatif732negatif5977929497negatif885	Samsung Galaxy A07 LTE 4/negatif28GB	Varian: Light Violet.	negatif hari lalu	Z***n	Alhamdulillah mantap				
21	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-tab-anegatifnegatif-5g-6-negatif28-negatif73342negatif93negatif63629566negatif	Samsung Galaxy Tab Anegatifnegatif+ 5G [6/negatif28]	Varian: Anegatifnegatif+	negatif hari lalu	M***l	Jangan ragu beli ditoko ini meskipun TF dulu tapi alhmdlh barang ORI...pengemasan rapi..kurir ramah tamah dan tidak sombong 🙏🙏🙏. Kurir langganan bgttt				
